video_id,title,views,likes,comments
waJKJW_XU90,Avatar: The Last Airbender | Official Teaser | Netflix,15796150,384920,35267
6pHZmBin4Xc,Toruk Macto - AVATAR (4k Movie Clip),2508310,19100,495
d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,58148566,1042774,43086
nsO1isT60h8,Destruction of Home Tree - AVATAR (4k Movie Clip),484339,3816,615
5PSNL1qE6VY,Avatar | Official Trailer (HD) | 20th Century FOX,12795667,81234,8936
QohBlL3WurE,Training with the Ikran - AVATAR (4k Movie Clip),221935,2905,68
VjIdoK0xM5E,Neytiri and Jake vs Quaritch - Final Battle Scene - Avatar (2009) Movie Clip HD,1185589,4375,123
-pDP5K-xW2Y,Jake vs Colonel Quaritch - AVATAR (4k Movie Clip),839690,7118,428
Mvt1OWNk_Sg,The Final Battle (Part 1) - AVATAR (4k Movie Clip),516501,5096,212
PLtgIILX7E8,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),43178600,203614,1335
a8Gx8wiNbs8,Avatar: The Way of Water | Official Teaser Trailer,27768400,682419,29008
YXtWPVFk5TQ,Avatar 3  Official Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer,3209529,39324,1435
ofvrOdrO9gY,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),1304351,17015,867
WDFr1O_GeAQ,Avatar (2009) - Best Scenes,2364442,18223,636
3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),5384175,23225,677
TgT8b62FJRI,Jake Meets Neytiri - AVATAR (4k Movie Clip),292643,3711,170
Hj6JCTAqFOo,AVATAR 3 Full Movie 2023 Fallen Kingdom HD,67311,254,12
2u9ApB0sWxw,"AVATAR RECAP: Everything You need to Know Before ""Way of Water""",579547,8998,322
V67Ytgs6KJo,Avatar: First Movie RECAP,610235,10346,320
0sJeBiUCIt4,AVATAR Clip - Final Battle (2009) James Cameron,32332554,191819,3681
jbncrh_3NfM,The Final Battle (Part 3) - AVATAR (4k Movie Clip),586979,4988,201
oFErWcXJLdw,TRAINING TO BE IN THE NEXT AVATAR MOVIE,2540569,49580,1668
mdhEj_rG80Y,AVATAR - Movie Behind the Scenes | Making of,2965428,8189,134
zpSueMIfc2k,"AVATAR Clip - ""Awake"" (2009) James Cameron",13141158,54082,753
nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,1860496,21441,594
f5Zx8iPek5I,Avatar 3 Will Introduce The Dark SideðŸ”¥ Of Na'viâ€¦!?ðŸ˜®,7735666,351080,4005
uLbnhYxh5Uk,Avatar The Way Of Water full movie :2023 || official movie|| 2022,44236,121,4
Ehf6iESkLMk,Avatar 2: The Way Of Water - All Clips From The Movie (2022),2131825,10694,137
cMzwBkBdX6w,Did You Know This in AVATAR: THE WAY OF WATER? #shorts,862077,60952,279
RGx8rYbRVR4,Why People Hate Avatar: A Lesson In Lazy Commentary,435477,26177,4067
QOg9LUIvaig,"AVATAR: THE LAST AIRBENDER | Water, Earth, Fire, Air | Netflix",3260561,55252,3983
HR2kbOK8i6I,The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips,10155535,78391,0
Xkw96oC3LnI,First Look at Team Avatar Movie Poster (2025),378901,33538,1279
Cimy6T1nczw,Avatar Scenes Without CGI,16191045,120724,1630
T5vdPy7nbRQ,Avatar Element Animation 2,2409279,191126,4705
noVddIRzn3o,Sander VS Avatar Jake Sully #sandervs #satisfying #avatar,149553935,1155904,3284
TKndKigKkss,Avatar the Last Airbender movie coming 2024! #avatar #avatarthelastairbender #movie #nickelodeon,274256,16944,218
u3_Uhq6qxhU,AVATAR: THE LAST AIRBENDER Official First Look (2024) Netflix Live Action Trailer,788904,6164,1083
KW58e84rMko,War Scene Final Battle | Avatar (2009) | Movie Clip,593418,6444,996
U7cVZD0idBw,The Avatar wins a war with a Tsunami | The Last Airbender | CLIP,2424080,18574,755
3b7sKh_QIbQ,Avatar: The Last of the Airbenders - Part One | Fan Film | JNJ Studios,3544947,31511,800
7xC-r3jOEp8,AVATAR: THE LAST AIRBENDER - OFFICIAL TRAILER (2024) | Netflix,323186,2078,200
wJ84Hda-H4c,PROTECTIVE FRIEND BE LIKEðŸ¤­ #avatar #avatar2 #avatarthewayofwater #rotxo,946739,64791,655
n76KALvTN3Q,Avatar: The Way of Water (2022) - Lo'ak Rush to Save Payakan,1495390,4412,52
kHNCaWjB-98,Zoe Saldana Performance Capture | AVATAR (2009) Before & After CGI #shorts,24103576,1021526,3184
2r71I8lvTIA,The Last Airbender Film: How it Disrespected a Great Series (Avatar Video Essay),5123571,154862,27180
X8SVkfbt8cs,Avatar: The Way of Water,0,20899,1692
rM8ogjwity8,Avatar: The Way of Water - How It Should Have Ended,1387489,74487,2384
cN0kUKNBfxE,Avatar 2009 - The Final Battle - Best Fight Scenes FULL HD,3207846,27294,641
XmxLG1HBNTk,AVATAR Full Movie 2023: Galactic Empire | Superhero FXL Action Movies 2023 in English (Game Movie),2225975,7477,60
